tweet_id,username,name,profile_picture,replies,retweets,likes,is_retweet,posted_time,content,hashtags,mentions,images,videos,tweet_url,link
1568098348292243456,marciadir2006,Márcia Nascimen,https://twitter.com/marciadir2006/photo,0,0,0,False,2022-09-09T04:45:54+00:00,,[],[],[],[],https://twitter.com/marciadir2006/status/1568098348292243456,https://t.co/RifJtBsK0X
1568097415026118657,sofrozen_,sof,https://twitter.com/sofrozen_/photo,0,0,0,False,2022-09-09T04:42:12+00:00,*votando,[],[],[],[],https://twitter.com/sofrozen_/status/1568097415026118657,
1568094270720032768,sofrozen_,sof,https://twitter.com/sofrozen_/photo,1,0,0,False,2022-09-09T04:29:42+00:00,Ué tá botando pra levar o bozo pro segundo turno?,[],[],[],[],https://twitter.com/sofrozen_/status/1568094270720032768,
1568092587600363521,zehenriqueteles,Zé Henrique,https://twitter.com/zehenriqueteles/photo,1,2,24,False,2022-09-09T04:23:01+00:00,"Colinha para essa eleição:

Dep. federal: Edu Real 2111
Dep. estadual: Fabi Medrado 21100
Senador: 
@titobellini
 211
Governador: 
@colombopcb
 21
Presidente: 
@SofiaManzanoPCB
 21",[],"['titobellini', 'colombopcb', 'SofiaManzanoPCB']",[],[],https://twitter.com/zehenriqueteles/status/1568092587600363521,
1568088697106579457,RaphaelKaiston,Raphael Kaiston,https://twitter.com/RaphaelKaiston/photo,0,0,0,True,2022-09-09T04:07:33+00:00,"Todo dia é dia de denunciar os banqueiros. Pq essa pauta ficou de lado? 
@GuilhermeBoulos
 @jonesmanoel_PCB
 @SofiaManzanoPCB
 @jonesmanoel_PCB
 @colombopcb
 @ManuelaDavila
 @_Heloisa_Helena
 @lucianagenro",[],"['GuilhermeBoulos', 'jonesmanoel_PCB', 'SofiaManzanoPCB', 'jonesmanoel_PCB', 'colombopcb', 'ManuelaDavila', '_Heloisa_Helena', 'lucianagenro']",['https://pbs.twimg.com/media/FcJGmIuXoAIvuhj?format=jpg&name=small'],[],https://twitter.com/RaphaelKaiston/status/1568088697106579457,
1568087350952984576,Dani_Morales77,Dani Morales,https://twitter.com/Dani_Morales77/photo,0,0,0,False,2022-09-09T04:02:12+00:00,"Agora que eu vi! Um grande abraço, camarada 
@SofiaManzanoPCB
 !!! ",[],['SofiaManzanoPCB'],['https://pbs.twimg.com/media/FcL3INTXkAAwKFJ?format=jpg&name=900x900'],[],https://twitter.com/Dani_Morales77/status/1568087350952984576,
1568085384634015746,_Sayuchuu,Saiury 21,https://twitter.com/_Sayuchuu/photo,1,0,1,False,2022-09-09T03:54:23+00:00,"Mano é incrível como o twitter é uma bolha mesmo né, na minha timeline só tem gente fazendo campanha pra Sofia Manzano o tempo todo e ela tá tão apagada nas pesquisas fico de cara",[],[],[],[],https://twitter.com/_Sayuchuu/status/1568085384634015746,
1568082532683456514,SexyLilSwine,eu sei,https://twitter.com/SexyLilSwine/photo,1,0,2,True,2022-09-09T03:43:04+00:00,cruzeiro também é Sofia Manzano 21,[],[],['https://pbs.twimg.com/media/FcLjFw7WAAAns-Z?format=jpg&name=small'],[],https://twitter.com/SexyLilSwine/status/1568082532683456514,
1568082011289489408,AntonioMaroto6,Rinaldi O,https://twitter.com/AntonioMaroto6/photo,0,0,0,False,2022-09-09T03:40:59+00:00,"Quem deve desaparecer são comunistas preguiçosos que não produzem nada, não geram um emprego, mas acham que merecem algo.",[],[],[],[],https://twitter.com/AntonioMaroto6/status/1568082011289489408,
1568080141166706695,LukiSantos21,Lucas é a Sheila Bueno de Mauá,https://twitter.com/LukiSantos21/photo,0,0,0,False,2022-09-09T03:33:33+00:00,"Fui curtido pela maior, 
@SofiaManzanoPCB
 estamos espalhando a palavra do comunismo, e com a sua potência chegaremos longe",[],['SofiaManzanoPCB'],['https://pbs.twimg.com/media/FcLwk_uXwAA0OWa?format=jpg&name=900x900'],[],https://twitter.com/LukiSantos21/status/1568080141166706695,
1568074529884225536,DanyBoy_88,Dan Milano,https://twitter.com/DanyBoy_88/photo,0,0,0,False,2022-09-09T03:11:15+00:00,,[],[],[],[],https://twitter.com/DanyBoy_88/status/1568074529884225536,
1568071580244221960,andreoli_1312,андреоли,https://twitter.com/andreoli_1312/photo,0,0,0,False,2022-09-09T02:59:32+00:00,"A 
@SofiaManzanoPCB
 curtiu meu tweet!! É nois, camarada ",[],['SofiaManzanoPCB'],[],[],https://twitter.com/andreoli_1312/status/1568071580244221960,
